homelat,homelon,homecontinent,n
-82.9,135,Antarctica,4
-54.8,-68.3,South America,4
-53.8,-67.7,South America,1
-53.2,-70.9,NA,2
-52.4,-71,South America,2
-51.7,-72.5,South America,2
-51.6,-69.2,South America,4
-51.6,-69.2,NA,1
-49.7,178.8,NA,1
-47.8,-65.9,NA,2
-46.5,-71.6,South America,2
-46.4,-67.5,South America,1
-46.1,169.6,Australia,1
-45.9,-67.5,South America,2
-45.9,170.5,Australia,62
-45.9,170.7,Australia,1
-45.8,170.6,Australia,2
-44.9,168.7,Australia,1
-44.8,-65.7,South America,1
-44.7,169.1,Australia,4
-43.5,172.6,Australia,62
-43.3,-65.1,South America,10
-43.3,-65,South America,5
-43.2,-65.3,South America,2
-43.1,147.3,NA,1
-42.9,-71.3,South America,4
-42.9,147.1,Australia,32
-42.9,147.3,Australia,1
-42.9,147.3,NA,3
-42.9,147.4,NA,1
-42.8,-65,South America,26
-42.8,147.3,Australia,2
-42.7,147.4,Australia,1
-42.4,171.7,Australia,3
-42.4,173.7,NA,24
-42,172,Australia,16
-41.9,-73.8,South America,1
-41.8,171.5,NA,10
-41.6,147.1,Australia,2
-41.6,173.4,Australia,2
-41.5,-72.9,South America,4
-41.5,146,Australia,7
-41.5,148.3,Australia,1
-41.3,-73,South America,3
-41.3,148.2,Australia,1
-41.3,173.3,Australia,10
-41.3,174.8,Australia,44
-41.3,174.8,NA,6
-41.1,-71.3,South America,6
-41.1,-71.2,South America,1
-41.1,174.8,Australia,6
-41.1,175.1,Australia,3
-40.9,174.9,NA,191
-40.9,175.1,Australia,1
