Ransomware dataset,,,,,,,,,
,,,,,,,,,
Company,Sector,Short description,Consequences,Ransom cost,Was ransom paid?,Date,Location,Group behind attack,Source
TRAVELEX,Finance,money exchange firm,"shut down its internal networks, website and apps for several weeks.",$2.3 million,Yes,Jan-20,UK,REvil,https://www.bankinfosecurity.com/travelex-paid-23-million-to-ransomware-attackers-report-a-14094
Gedia,manufacturing,car parts manufacturing company,"threaten to publish 50GB of sensitive data, including blueprints and employees’ and clients’ details, unless Gedia agreed to pay a ransom.",Not communicated,Not communicated,Jan-20,Germany,Sodinokibi,https://www-computerweekly-com.cdn.ampproject.org/c/s/www.computerweekly.com/news/252477247/Travelex-hackers-shut-down-German-car-parts-company-Gedia-in-massive-cyber-attack?amp=1
Bouygues,Construction,Construction company,"affecting the entire computer network and shutting down all of the company’s servers, at least 200GB of data already stolen.",€10 million,Not communicated,Jan-20,France,Not communicated,https://informationsecuritybuzz.com/expert-comments/bouygues-construction-paralysed-by-a-major-cyber-attack-experts-insight/
Electronic Warfare Associates (EWA),Technology ,well-known US government defense contractor ,threat actor managed to exfiltrate files containing sensitive information.,Not communicated,Not communicated,Jan-20,USA,RYUK,https://www.zdnet.com/article/dod-contractor-suffers-ransomware-infection/
Personal Touch Holding Corp. ,healthcare,"parent company of subsidiaries that operate Medicare-certified home health agencies, licensed home care service agencies, hospice at home services, and provides home health care personnel and related services to individuals in their homes ","mpacting more than 150,000 patients at multiple locations, data compromised might have included Social Security numbers, financial information, and medical records.",Not communicated,Not communicated,Jan-20,USA,Maze,https://www.prnewswire.com/news-releases/personal-touch-holding-corp-identifies-and-addresses-data-security-breach-301256229.html
btyDENTAL,healthcare,dental clinics,"possibility that patients’ names and x-ray images might have been accessed. No Financial Information, Medical Record, Social Security Numbers, Date of Birth were impacted by this event.",Not communicated,Not communicated,Jan-20,USA,Not communicated,https://www.databreaches.net/btydental-notifies-patients-after-ransomware-attack/
Richard Davis MD FACS,Healthcare,plastic surgery clinic,"obtained the complete medical records of patients, which could be used to publicly exploit patients or be traded to third parties. one of the first reported incidents where the hackers targeted the patients, rather than just the provider.",Not communicated,Not communicated,Jan-20,USA,Not communicated,https://grahamcluley.com/plastic-surgery-patients-ransomware/
ISS WORLD,Property management,multinational global facility-management company,"left the 43,000 employees of the company without access to email or other online services",$74 million ,Not communicated,Feb-20,Denmark,Not communicated,https://www.getsignal.info/blog/12-largest-ransomware-attacks-of-2020
INA Group ,Oil/Gas,Croatia’s biggest oil company and largest gas station chain,"impact its ability to issue invoices, register loyalty card use, issue new mobile vouchers, and allow customers to pay certain bills",Not communicated,Not communicated,Feb-20,Croatia,Clop,https://usa.kaspersky.com/resource-center/threats/top-ransomware-2020
NRC Health ,healthcare,"The company focuses on collecting vast volumes of healthcare consumer data, as well as creating healthcare products and subscription-based solutions",private patient data was accessed,Not communicated,Not communicated,Feb-20,USA,Not communicated,https://www.fiercehealthcare.com/tech/vendor-nrc-health-working-to-restore-it-systems-after-ransomware-attack
Epiq Global,legal,"provides legal counsel and administration that counts banks, credit giants, and governments as customers","outage affected their e-Discovery platforms, which made it impossible for legal clients to access documents needed for court cases and client deadlines.",Not communicated,Not communicated,Feb-20,USA,RYUK,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-attacked-epiq-global-via-trickbot-infection/
BST & Co.,finance,Accounting firm,"he files accessed in the attack contained some personal information of patients, including names, dates of birth, medical record numbers, medical billing codes and insurance descriptions. Patient medical records and Social Security numbers were not exposed.",Not communicated,Not communicated,Feb-20,USA,Maze,https://www.bizjournals.com/albany/news/2020/02/20/bst-co-ransomware-attack-community-care.html
Finastra,Technology ,"London fintech firm that provides technology solutions, $2 billion in revenue",shut down their key systems globally after detecting a cyberattack,Not communicated,Not communicated,Mar-20,UK,Not communicated,https://cisomag.com/finastra-hit-by-ransomware-attack-shuts-down-servers/
Visser,manufacturing,parts manufacturer for Tesla based in Colorado,"affected, Tesla, Space X, Lockheed Martin, included access to or theft of data.",$2.3 million,No,Mar-20,USA,DoppelPaymer,https://techcrunch.com/2020/03/01/visser-breach/?guccounter=1
EVRAZ,manufacturing,one of the world’s largest steel manufacturers and mining operations owned by a billionaire from Russia owns EVRAZ and is also known to control the UK Football Club Chelsea.,Manufacturing has been halted at most plants and ,Not communicated,Not communicated,Mar-20,USA,RYUK,https://www.zdnet.com/article/one-of-roman-abramovichs-companies-got-hit-by-ransomware/
Kimchuk,manufacturing,"a medical and military electronics maker, that also makes nuclear modules for the Navy","data stolen included the company’s payroll records, broker approvals and purchase orders, as well as order details of one of its customers’ nuclear divisions.",$10 million in Crypto,No,Mar-20,USA,DoppelPaymer,https://techcrunch.com/2020/03/26/kimchuk-medical-military-ransomware/
LTI Power Systems,manufacturer,manufacturer of Uninterruptible Power Supplies (UPS). ,"hackers accessed schematics and drawings related to Ameren’s operations at two power plants, but did not access confidential information related to critical or customer operations",Not communicated,Not communicated,Mar-20,USA,Not communicated,https://www.insurancebusinessmag.com/us/news/cyber/energy-company-supplier-suffers-ransomware-attack-218063.aspx
Four Queens Hotel and Casino,entertainment ,3 stars hotel and casino,unable to trade in anything other than cash and affecting some of the slot machines.,Not communicated,Not communicated,Mar-20,USA,Not communicated,https://securityboulevard.com/2020/03/two-las-vegas-casinos-may-have-been-crippled-by-ransomware-attacks/
