Industries,2020,2021
Agriculture & fishing,1,0
"Banking, Finance & insurance",12,17
Construction,2,1
Defence ,2,1
Distribution,3,5
Energy and utilities infrastructure,6,10
Engineering,0,1
Food & Drink,3,13
Government & Politics,0,3
Healthcare,29,30
"Hotels, Restaurants & leisure centres",5,7
Legal services,3,5
Manufacturing,19,19
Non-profit,2,5
Public admin & Education,3,3
Retail,2,12
Services providers,8,22
Shipping and ports,1,2
Sports,2,1
"Technology, Media & Telecommunications",38,42
Transport & Communication,5,8
